Temperature;Cmax
-5039;10000
-5022;9500
-4953;9025
-4568;8573.75
-4568;8145.06
-4568;7737.81
-4568;7350.92
-4568;6983.37
-4568;6634.2
-4568;6302.49
-4568;5987.37
-4568;5688
-4568;5403.6
-4568;5133.42
-4568;4876.75
-4568;4632.91
-4568;4401.27
-4568;4181.2
-4568;3972.14
-4568;3773.54
-4568;3584.86
-4568;3405.62
-4445;3235.34
-4445;3073.57
-4445;2919.89
-4445;2773.9
-4445;2635.2
-4445;2503.44
-4445;2378.27
-4445;2259.36
-4445;2146.39
-4445;2039.07
-4445;1937.11
-4445;1840.26
-4445;1748.25
-4445;1660.83
-4445;1577.79
-4445;1498.9
-4445;1423.96
-4445;1352.76
-4445;1285.12
-4445;1220.87
-4445;1159.82
-4445;1101.83
-4445;1046.74
-4445;994.403
-4445;944.682
-4445;897.448
-4445;852.576
-4445;809.947
-4445;769.45
-4445;730.977
-4445;694.428
-4445;659.707
-4445;626.722
-4445;595.386
-4445;565.616
-4445;537.335
-4445;510.469
-4445;484.945
-4445;460.698
-4445;437.663
-4445;415.78
-4445;394.991
-4445;375.241
-4445;356.479
-4445;338.655
-4445;321.723
-4445;305.636
-4445;290.355
-4445;275.837
-4445;262.045
-4445;248.943
-4445;236.496
-4445;224.671
-4445;213.437
-4445;202.765
-4430;192.627
-4430;182.996
-4430;173.846
-4430;165.154
-4430;156.896
-4430;149.051
-4430;141.599
-4430;134.519
-4430;127.793
-4430;121.403
-4430;115.333
-4430;109.566
-4430;104.088
-4430;98.8836
-4430;93.9395
-4430;89.2425
-4430;84.7804
-4371;80.5413
-4371;76.5143
-4371;72.6886
-4371;69.0541
-4371;65.6014
-4371;62.3214
-4371;59.2053
-4371;56.245
-4371;53.4328
-4371;50.7611
-4233;48.2231
-4233;45.8119
-4233;43.5213
-4164;41.3453
-4164;39.278
-4164;37.3141
-4141;35.4484
-4078;33.676
-4070;31.9922
-4051;30.3926
-4051;28.8729
-4025;27.4293
-3967;26.0578
-3967;24.7549
-3884;23.5172
-3884;22.3413
-3884;21.2243
-3778;20.1631
-3742;19.1549
-3581;18.1972
-3581;17.2873
-3534;16.4229
-3534;15.6018
-3527;14.8217
-3443;14.0806
-3432;13.3766
-3432;12.7078
-3407;12.0724
-3407;11.4687
-3407;10.8953
-3407;10.3505
-3407;9.83302
-3384;9.34136
-3341;8.8743
-3285;8.43058
-3270;8.00905
-3264;7.6086
-3264;7.22817
-3190;6.86676
-3173;6.52342
-3142;6.19725
-3135;5.88739
-3135;5.59302
-3120;5.31337
-3091;5.0477
-3048;4.79532
-3035;4.55555
-3004;4.32777
-2968;4.11138
-2968;3.90581
-2968;3.71052
-2942;3.525
-2940;3.34875
-2940;3.18131
-2940;3.02224
-2940;2.87113
-2940;2.72758
-2940;2.5912
-2940;2.46164
-2919;2.33856
-2910;2.22163
-2910;2.11055
-2898;2.00502
-2898;1.90477
-2898;1.80953
-2898;1.71905
-2898;1.6331
-2898;1.55145
-2898;1.47387
-2898;1.40018
-2898;1.33017
-2898;1.26366
-2898;1.20048
-2898;1.14045
-2898;1.08343
-2898;1.02926
-2898;0.977798
-2898;0.928908
-2898;0.882462
-2898;0.838339
-2898;0.796422
-2898;0.756601
-2898;0.718771
-2898;0.682833
-2898;0.648691
-2898;0.616256
-2898;0.585444
-2898;0.556171
-2898;0.528363
-2898;0.501945
-2898;0.476847
-2898;0.453005
-2898;0.430355
-2898;0.408837
-2898;0.388395
-2898;0.368975
-2898;0.350527
-2898;0.333
-2898;0.31635
-2898;0.300533
-2898;0.285506
-2898;0.271231
-2898;0.257669
-2898;0.244786
-2898;0.232547
-2898;0.220919
-2898;0.209873
-2898;0.19938
-2898;0.189411
-2898;0.17994
-2898;0.170943
-2898;0.162396
-2898;0.154276
-2898;0.146562
-2898;0.139234
-2898;0.132272
-2898;0.125659
-2898;0.119376
-2898;0.113407
-2898;0.107737
-2898;0.10235
-2898;0.0972324
-2898;0.0923708
-2898;0.0877523
-2898;0.0833647
-2898;0.0791964
-2898;0.0752366
-2898;0.0714748
-2898;0.067901
-2898;0.064506
-2898;0.0612807
-2898;0.0582167
-2898;0.0553058
-2898;0.0525405
-2898;0.0499135
-2898;0.0474178
-2898;0.0450469
-2898;0.0427946
-2898;0.0406549
-2898;0.0386221
-2898;0.036691
-2898;0.0348565
-2898;0.0331136
-2898;0.031458
-2898;0.0298851
-2898;0.0283908
-2898;0.0269713
-2898;0.0256227
-2898;0.0243416
-2898;0.0231245
-2898;0.0219683
-2898;0.0208699
-2898;0.0198264
-2898;0.018835
-2898;0.0178933
-2898;0.0169986
-2898;0.0161487
-2898;0.0153413
-2898;0.0145742
-2898;0.0138455
-2898;0.0131532
-2898;0.0124956
-2898;0.0118708
-2898;0.0112772
-2898;0.0107134
-2898;0.0101777
-2898;0.00966882
-2898;0.00918538
-2898;0.00872611
-2898;0.0082898
-2898;0.00787531
-2898;0.00748155
-2898;0.00710747
-2898;0.0067521
-2898;0.00641449
-2898;0.00609377
-2898;0.00578908
-2898;0.00549963
-2898;0.00522464
-2898;0.00496341
-2898;0.00471524
-2898;0.00447948
-2898;0.00425551
-2898;0.00404273
-2898;0.00384059
-2898;0.00364856
-2898;0.00346614
-2898;0.00329283
-2898;0.00312819
-2898;0.00297178
-2898;0.00282319
-2898;0.00268203
-2898;0.00254793
-2898;0.00242053
-2898;0.00229951
-2898;0.00218453
-2898;0.0020753
-2898;0.00197154
-2898;0.00187296
-2898;0.00177931
-2898;0.00169035
-2898;0.00160583
-2898;0.00152554
-2898;0.00144926
-2898;0.0013768
-2898;0.00130796
-2898;0.00124256
-2898;0.00118043
-2898;0.00112141
-2898;0.00106534
-2898;0.00101207
-2898;0.00096147
-2898;0.000913396
-2898;0.000867727
-2898;0.00082434
-2898;0.000783123
-2898;0.000743967
-2898;0.000706769
-2898;0.00067143
-2898;0.000637859
-2898;0.000605966
-2898;0.000575668
-2898;0.000546884
-2898;0.00051954
-2898;0.000493563
-2898;0.000468885
-2898;0.000445441
-2898;0.000423169
-2898;0.00040201
-2898;0.00038191
-2898;0.000362814
-2898;0.000344673
-2898;0.00032744
-2898;0.000311068
-2898;0.000295514
-2898;0.000280739
-2898;0.000266702
-2898;0.000253367
-2898;0.000240698
-2898;0.000228663
-2898;0.00021723
-2898;0.000206369
-2898;0.00019605
-2898;0.000186248
-2898;0.000176935
-2898;0.000168089
-2898;0.000159684
-2898;0.0001517
